robot,payload,stage,t,v
amr1,unloaded,nav,37.101,0.0000
amr1,unloaded,nav,37.120,0.0000
amr1,unloaded,nav,37.141,0.0000
amr1,unloaded,nav,37.162,0.0000
amr1,unloaded,nav,37.183,0.0000
amr1,unloaded,nav,37.201,0.0000
amr1,unloaded,nav,37.220,0.0000
amr1,unloaded,nav,37.242,0.0000
amr1,unloaded,nav,37.262,0.0000
amr1,unloaded,nav,37.285,0.0000
amr1,unloaded,nav,37.300,0.0000
amr1,unloaded,nav,37.325,0.0000
amr1,unloaded,nav,37.347,0.0000
amr1,unloaded,nav,37.360,0.0000
amr1,unloaded,nav,37.380,0.0000
amr1,unloaded,nav,37.400,0.0000
amr1,unloaded,nav,37.420,0.0000
amr1,unloaded,nav,37.440,0.0000
amr1,unloaded,nav,37.460,0.0000
amr1,unloaded,nav,37.481,0.0000
amr1,unloaded,nav,37.500,0.0000
amr1,unloaded,nav,37.522,0.0000
amr1,unloaded,nav,37.541,0.0000
amr1,unloaded,nav,37.561,0.0000
amr1,unloaded,nav,37.580,0.0000
amr1,unloaded,nav,37.600,0.0000
amr1,unloaded,nav,37.620,0.0000
amr1,unloaded,nav,37.640,0.0000
amr1,unloaded,nav,37.663,0.0000
amr1,unloaded,nav,37.680,0.0000
amr1,unloaded,nav,37.700,0.0000
amr1,unloaded,nav,37.720,0.0000
amr1,unloaded,nav,37.740,0.0000
amr1,unloaded,nav,37.763,0.0000
amr1,unloaded,nav,37.781,0.0000
amr1,unloaded,nav,37.802,0.0000
amr1,unloaded,nav,37.822,0.0000
amr1,unloaded,nav,37.842,0.0000
amr1,unloaded,nav,37.869,0.0000
amr1,unloaded,nav,37.882,0.0000
amr1,unloaded,nav,37.900,0.0000
amr1,unloaded,nav,37.921,0.0000
amr1,unloaded,nav,37.940,0.0000
amr1,unloaded,nav,37.961,0.0000
amr1,unloaded,nav,37.982,0.0000
amr1,unloaded,nav,38.001,0.0000
amr1,unloaded,nav,38.021,0.0000
amr1,unloaded,nav,38.043,0.0000
amr1,unloaded,nav,38.061,0.0000
amr1,unloaded,nav,38.080,0.0000
amr1,unloaded,nav,38.100,0.0000
amr1,unloaded,nav,38.121,0.0000
amr1,unloaded,nav,38.140,0.0000
amr1,unloaded,nav,38.162,0.0000
amr1,unloaded,nav,38.181,0.0000
amr1,unloaded,nav,38.200,0.0000
amr1,unloaded,nav,38.222,0.0000
amr1,unloaded,nav,38.240,0.0000
amr1,unloaded,nav,38.262,0.0000
amr1,unloaded,nav,38.281,0.0000
amr1,unloaded,nav,38.300,0.0000
amr1,unloaded,nav,38.321,0.0000
amr1,unloaded,nav,38.340,0.0000
amr1,unloaded,nav,38.360,0.0000
amr1,unloaded,nav,38.382,0.0000
amr1,unloaded,nav,38.403,0.0000
amr1,unloaded,nav,38.420,0.0000
amr1,unloaded,nav,38.441,0.0000
amr1,unloaded,nav,38.461,0.0000
amr1,unloaded,nav,38.481,0.0000
amr1,unloaded,nav,38.502,0.0000
amr1,unloaded,nav,38.521,0.0000
amr1,unloaded,nav,38.541,0.0000
amr1,unloaded,nav,38.561,0.0000
amr1,unloaded,nav,38.581,0.0000
amr1,unloaded,nav,38.600,0.0000
amr1,unloaded,nav,38.622,0.0000
amr1,unloaded,nav,38.641,0.0000
amr1,unloaded,nav,38.661,0.0000
amr1,unloaded,nav,38.682,0.0000
amr1,unloaded,nav,38.700,0.0000
amr1,unloaded,nav,38.721,0.0000
amr1,unloaded,nav,38.741,0.0000
amr1,unloaded,nav,38.763,0.0000
amr1,unloaded,nav,38.782,0.0000
amr1,unloaded,nav,38.805,0.0000
amr1,unloaded,nav,38.820,0.0000
amr1,unloaded,nav,38.842,0.0000
amr1,unloaded,nav,38.861,0.0000
amr1,unloaded,nav,38.880,0.0000
amr1,unloaded,nav,38.901,0.0000
amr1,unloaded,nav,38.921,0.0000
amr1,unloaded,nav,38.941,0.0000
amr1,unloaded,nav,38.960,0.0000
amr1,unloaded,nav,38.980,0.0000
amr1,unloaded,nav,39.001,0.0000
amr1,unloaded,nav,39.020,0.0000
amr1,unloaded,nav,39.041,0.0000
amr1,unloaded,nav,39.061,0.0000
amr1,unloaded,nav,39.081,0.0000
